NAME,CLUB,LEAGUE,NATION,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,WORKRATE,STRONGFOOT,WEAKFOOT,SKILLMOVES,LOADDATE
Alan Shearer,Icons,Icons,England,ST,Gold,91,91,86,88,92,36,79,High / Medium,Right,3,2,
Ronaldinho,Icons,Icons,Brazil,CAM,Gold,91,92,83,84,81,86,86,High / Low,Right,4,5,
Roberto Carlos,Icons,Icons,Brazil,LB,Gold,91,88,82,88,89,40,64,High / High,Left,2,3,
Robert Pirès,Icons,Icons,France,LM,Gold,91,94,89,88,93,53,73,Medium / Medium,Right,4,4,
Pelé,Icons,Icons,Brazil,CF,Gold,91,93,93,88,90,42,74,High / Medium,Right,4,5,
Eusébio,Icons,Icons,Portugal,CF,Gold,91,90,89,70,88,34,67,High / Medium,Right,5,4,
Michael Owen,Icons,Icons,England,ST,Gold,91,91,89,88,93,41,72,Medium / Medium,Right,4,3,
Johan Cruyff,Icons,Icons,Netherlands,CF,Gold,91,87,84,86,77,89,82,High / Low,Right,5,5,
Lothar Matthäus,Icons,Icons,Germany,CDM,Gold,91,93,87,87,94,38,76,High / High,Right,4,3,
Diego Maradona,Icons,Icons,Argentina,CAM,Gold,91,85,79,90,92,38,64,High / Medium,Left,3,5,
Michael Laudrup,Icons,Icons,Denmark,CAM,Gold,91,88,82,89,90,38,60,Medium / Medium,Right,4,4,
Roberto Baggio,Icons,Icons,Italy,CAM,Gold,91,86,88,80,83,41,82,Medium / Low,Right,4,5,
Patrick Kluivert,Icons,Icons,Netherlands,ST,Gold,91,83,89,90,90,43,65,High / Low,Right,4,4,
Gheorghe Hagi,Icons,Icons,Romania,CAM,Gold,91,83,52,66,67,90,90,Medium / Low,Left,4,4,
Marcel Desailly,Icons,Icons,France,CB,Gold,91,79,69,70,78,92,86,Medium / High,Right,3,2,
Laurent Blanc,Icons,Icons,France,CB,Gold,91,72,87,91,80,64,82,Medium / High,Right,3,2,
Paul Scholes,Icons,Icons,England,CM,Gold,91,81,90,88,83,81,86,High / Medium,Right,3,3,
Michael Ballack,Icons,Icons,Germany,CM,Gold,91,84,90,91,90,45,84,Medium / High,Right,4,4,
Sócrates,Icons,Icons,Brazil,CAM,Gold,91,77,90,90,85,77,84,High / Medium,Right,5,4,
Steven Gerrard,Icons,Icons,England,CM,Gold,91,80,87,90,88,68,82,High / Medium,Right,3,3,
Clarence Seedorf,Icons,Icons,Netherlands,CAM,Gold,91,77,86,92,87,60,78,Medium / Medium,Right,4,4,
Kevin De Bruyne,Manchester City,England Premier League,Belgium,CAM,Gold,91,80,90,79,87,52,85,High / High,Right,5,4,
Luis Suárez,FC Barcelona,Spain Primera Division,Uruguay,ST,Gold,91,76,76,90,91,70,67,High / Medium,Right,4,3,
Luka Modrić,Real Madrid,Spain Primera Division,Croatia,CM,Gold,91,75,63,71,72,91,84,High / High,Right,4,4,
Sergio Ramos,Real Madrid,Spain Primera Division,Spain,CB,Gold,91,91,82,86,94,35,67,High / Medium,Right,3,3,
Eden Hazard,Chelsea,England Premier League,Belgium,LW,Gold,91,67,75,88,92,51,61,High / Medium,Right,4,4,
David Silva,Manchester City,England Premier League,Spain,CAM,Gold,90,87,87,82,89,51,71,High / Medium,Left,2,4,
Antoine Griezmann,Atlético de Madrid,Spain Primera Division,France,ST,Gold,90,77,88,73,81,53,84,High / High,Left,3,4,
Edinson Cavani,Paris Saint-Germain,France Ligue 1,Uruguay,ST,Gold,90,73,82,86,93,62,63,High / High,Right,3,3,
Isco,Real Madrid,Spain Primera Division,Spain,CAM,Gold,90,71,91,80,82,48,84,High / Medium,Right,3,4,
Harry Kane,Tottenham Hotspur,England Premier League,England,ST,Gold,90,66,59,77,74,91,77,High / High,Right,4,3,
Mats Hummels,Bayern München,Germany 1. Bundesliga,Germany,CB,Gold,90,85,90,77,90,29,74,High / Medium,Right,3,3,
Sergio Agüero,Manchester City,England Premier League,Argentina,ST,Gold,90,86,86,85,92,29,67,High / Medium,Right,4,4,
Paulo Dybala,Juventus,Italy Serie A,Argentina,CAM,Gold,90,70,47,57,61,92,83,High / Medium,Left,3,4,
Giorgio Chiellini,Juventus,Italy Serie A,Italy,CB,Gold,90,76,85,90,85,77,85,Medium / High,Left,2,2,
Juan Sebastián Verón,Icons,Icons,Argentina,CM,Gold,90,82,88,72,82,38,80,Medium / Medium,Right,4,3,
Ruud van Nistelrooy,Icons,Icons,Netherlands,ST,Gold,90,86,81,88,88,44,79,High / Low,Right,3,3,
Roy Keane,Icons,Icons,Republic of Ireland,CM,Gold,90,92,88,81,91,42,70,Medium / High,Right,3,2,
Rui Costa,Icons,Icons,Portugal,CAM,Gold,90,94,90,77,91,42,72,Medium / Medium,Right,4,4,
Emilio Butragueño,Icons,Icons,Spain,ST,Gold,90,77,76,83,80,90,87,Medium / Low,Right,5,3,
Ronaldo,Icons,Icons,Brazil,ST,Gold,90,72,45,66,58,93,91,Medium / Medium,Right,4,4,
Frank Rijkaard,Icons,Icons,Netherlands,CDM,Gold,90,85,89,83,88,35,73,Medium / Medium,Right,4,3,
Carles Puyol,Icons,Icons,Spain,CB,Gold,90,85,90,87,90,43,77,Medium / High,Right,3,2,
Dennis Bergkamp,Icons,Icons,Netherlands,CAM,Gold,90,86,91,88,91,43,63,High / Medium,Right,4,4,
Rivaldo,Icons,Icons,Brazil,CF,Gold,90,77,79,82,78,87,89,Medium / Low,Left,2,4,
Gianfranco Zola,Icons,Icons,Italy,CF,Gold,90,95,82,81,89,47,67,High / Medium,Right,4,4,
Emmanuel Petit,Icons,Icons,France,CDM,Gold,90,87,83,84,94,40,60,High / High,Left,3,3,
Marc Overmars,Icons,Icons,Netherlands,LM,Gold,90,71,41,62,66,91,85,High / Medium,Left,5,3,
Jay-Jay Okocha,Icons,Icons,Nigeria,CAM,Gold,90,82,89,84,84,36,64,Medium / Low,Right,4,5,
Alessandro Nesta,Icons,Icons,Italy,CB,Gold,90,90,89,76,85,48,73,Medium / High,Right,3,2,
Jari Litmanen,Icons,Icons,Finland,CAM,Gold,90,79,91,69,83,36,65,Medium / Medium,Right,4,3,
Henrik Larsson,Icons,Icons,Sweden,ST,Gold,90,92,88,74,89,48,70,High / High,Right,4,3,
Filippo Inzaghi,Icons,Icons,Italy,ST,Gold,90,90,88,85,87,51,77,Medium / Low,Right,3,3,
Luis Hernández,Icons,Icons,Mexico,ST,Gold,90,88,88,88,87,80,87,High / Medium,Right,3,4,
Thierry Henry,Icons,Icons,France,LW,Gold,90,83,49,67,65,91,86,Medium / Medium,Right,4,4,
Ruud Gullit,Icons,Icons,Netherlands,CM,Gold,90,85,90,85,92,42,69,High / Medium,Right,5,4,
Rio Ferdinand,Icons,Icons,England,CB,Gold,90,83,79,91,90,51,70,Medium / Medium,Right,3,3,
Alessandro Del Piero,Icons,Icons,Italy,CF,Gold,90,89,90,72,89,38,73,Medium / Medium,Right,5,4,
Deco,Icons,Icons,Portugal,CM,Gold,90,90,90,87,90,48,84,High / Medium,Right,3,4,
Hernán Crespo,Icons,Icons,Argentina,ST,Gold,90,83,91,74,83,40,84,Medium / Low,Right,4,4,
Hristo Stoichkov,Icons,Icons,Bulgaria,LW,Gold,90,90,90,83,93,57,70,Medium / Medium,Left,3,4,
Christian Vieri,Icons,Icons,Italy,ST,Gold,90,90,86,88,91,40,78,Medium / Medium,Left,4,3,
George Best,Icons,Icons,Northern Ireland,RW,Gold,90,74,90,88,84,73,81,Medium / Low,Right,4,4,
Luís Figo,Icons,Icons,Portugal,RW,Gold,90,80,50,79,80,88,88,Medium / Medium,Right,4,4,
Frank Lampard,Icons,Icons,England,CM,Gold,90,67,82,89,82,74,69,High / Medium,Right,4,3,
Claude Makélélé,Icons,Icons,France,CDM,Gold,90,78,89,75,85,41,82,Low / High,Right,3,3,
Toni Kroos,Real Madrid,Spain Primera Division,Germany,CM,Gold,90,68,48,65,64,89,84,Medium / Medium,Right,5,3,
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,Poland,ST,Gold,90,91,78,86,92,37,52,High / Medium,Right,4,4,
Diego Godín,Atlético de Madrid,Spain Primera Division,Uruguay,CB,Gold,90,72,55,74,71,89,80,Medium / High,Right,3,2,
Lorenzo Insigne,Napoli,Italy Serie A,Italy,ST,Gold,89,91,77,85,92,37,51,High / Medium,Right,3,4,
Thiago Silva,Paris Saint-Germain,France Ligue 1,Brazil,CB,Gold,89,96,89,85,86,59,77,High / High,Right,3,2,
Lorenzo Insigne,Napoli,Italy Serie A,Italy,LW,Gold,89,63,70,76,73,88,89,High / Medium,Right,3,4,
Gareth Bale,Real Madrid,Spain Primera Division,Wales,RW,Gold,89,83,72,84,91,82,83,High / Medium,Left,3,4,
Casemiro,Real Madrid,Spain Primera Division,Brazil,CDM,Gold,89,75,83,90,87,54,65,Medium / High,Right,3,2,
Marcelo,Real Madrid,Spain Primera Division,Brazil,LB,Gold,89,93,85,80,90,46,73,High / Low,Left,4,5,
Christian Eriksen,Tottenham Hotspur,England Premier League,Denmark,CAM,Gold,89,73,87,89,87,51,68,High / Medium,Right,5,4,
Mohamed Salah,Liverpool,England Premier League,Egypt,RW,Gold,89,82,82,87,92,46,65,High / Medium,Left,3,4,
James Rodríguez,Bayern München,Germany 1. Bundesliga,Colombia,CAM,Gold,89,44,63,80,79,86,81,Medium / Medium,Left,3,4,
Coutinho,FC Barcelona,Spain Primera Division,Brazil,LW,Gold,89,76,80,87,86,70,88,High / High,Right,4,5,
Sergio Busquets,FC Barcelona,Spain Primera Division,Spain,CDM,Gold,89,66,60,81,75,91,83,Medium / Medium,Right,3,3,
Paul Pogba,Manchester United,England Premier League,France,CM,Gold,89,89,90,70,84,38,74,High / Low,Right,4,5,
Bobby Moore,Icons,Icons,England,CB,Gold,89,71,66,75,70,90,84,Medium / Medium,Right,3,2,
Gary Lineker,Icons,Icons,England,ST,Gold,89,80,45,60,54,90,90,High / Low,Right,4,3,
Fernando Hierro,Icons,Icons,Spain,CB,Gold,89,83,87,75,81,42,78,Medium / Medium,Right,3,2,
Sol Campbell,Icons,Icons,England,CB,Gold,89,88,86,88,88,52,80,Low / Medium,Right,3,2,
David Trezeguet,Icons,Icons,France,ST,Gold,89,83,91,72,86,35,76,Medium / Low,Right,4,4,
Miroslav Klose,Icons,Icons,Germany,ST,Gold,89,84,90,75,78,48,84,High / Medium,Right,4,3,
Pavel Nedvěd,Icons,Icons,Czech Republic,LM,Gold,89,80,85,88,90,38,77,High / Medium,Right,5,4,
Marco van Basten,Icons,Icons,Netherlands,ST,Gold,89,95,91,83,90,43,78,Medium / Medium,Right,4,3,
Alan Shearer,Icons,Icons,England,ST,Gold,89,92,87,85,92,40,70,High / Medium,Right,3,2,
Ronaldinho,Icons,Icons,Brazil,CAM,Gold,89,76,44,62,67,92,82,Medium / Low,Right,4,5,
Eusébio,Icons,Icons,Portugal,CF,Gold,89,82,77,89,90,36,62,High / Medium,Right,5,4,
Johan Cruyff,Icons,Icons,Netherlands,CF,Gold,89,82,83,90,90,41,61,High / Low,Right,5,5,
Fabio Cannavaro,Icons,Icons,Italy,CB,Gold,89,85,87,89,89,40,65,Low / High,Right,3,2,
Michael Laudrup,Icons,Icons,Denmark,LW,Gold,89,79,68,70,79,90,85,Medium / Medium,Right,4,4,
Roberto Baggio,Icons,Icons,Italy,CF,Gold,89,71,86,89,81,64,80,Medium / Low,Right,4,5,
Gheorghe Hagi,Icons,Icons,Romania,CAM,Gold,89,84,80,90,88,47,64,Medium / Low,Left,4,4,
Laurent Blanc,Icons,Icons,France,CB,Gold,89,78,87,88,82,78,88,Medium / High,Right,3,2,
Paul Scholes,Icons,Icons,England,CM,Gold,89,73,65,72,73,91,89,High / Medium,Right,3,3,
Ryan Giggs,Icons,Icons,Wales,LM,Gold,89,82,88,88,88,46,83,Medium / Medium,Left,2,3,
Michael Ballack,Icons,Icons,Germany,CM,Gold,89,80,86,88,84,75,80,Medium / High,Right,4,4,
Gennaro Gattuso,Icons,Icons,Italy,CDM,Gold,89,76,87,72,80,52,83,Medium / High,Right,3,2,
Sócrates,Icons,Icons,Brazil,CAM,Gold,89,80,66,77,81,87,84,High / Medium,Right,5,4,
Steven Gerrard,Icons,Icons,England,CM,Gold,89,86,86,81,88,50,70,High / High,Right,3,3,
Edinson Cavani,Paris Saint-Germain,France Ligue 1,Uruguay,ST,Gold,89,84,89,76,89,28,73,High / High,Right,3,3,
N'Golo Kanté,Chelsea,England Premier League,France,CDM,Gold,89,66,74,87,91,50,60,Medium / High,Right,3,2,
Antoine Griezmann,Atlético de Madrid,Spain Primera Division,France,ST,Gold,89,65,58,76,73,90,76,High / High,Left,3,4,
Sergio Agüero,Manchester City,England Premier League,Argentina,ST,Gold,89,69,46,56,60,91,82,High / Medium,Right,4,4,
David Silva,Manchester City,England Premier League,Spain,CAM,Gold,89,70,90,79,81,47,83,High / Medium,Left,2,4,
Mats Hummels,Bayern München,Germany 1. Bundesliga,Germany,CB,Gold,89,72,81,85,92,61,62,High / Medium,Right,3,3,
Giorgio Chiellini,Juventus,Italy Serie A,Italy,CB,Gold,89,85,85,84,91,28,66,Medium / High,Left,2,2,
Harry Kane,Tottenham Hotspur,England Premier League,England,ST,Gold,89,97,84,81,90,40,73,High / High,Right,4,3,
Isco,Real Madrid,Spain Primera Division,Spain,CAM,Gold,89,79,87,62,81,37,74,High / Medium,Right,3,4,
Paulo Dybala,Juventus,Italy Serie A,Argentina,CAM,Gold,89,83,88,65,84,40,78,High / Medium,Left,3,4,
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,France,RM,Gold,88,73,87,70,83,31,74,High / Medium,Right,4,5,
Mauro Icardi,Inter,Italy Serie A,Argentina,ST,Gold,88,79,86,62,80,37,73,Medium / Low,Right,4,3,
Ciro Immobile,Lazio,Italy Serie A,Italy,ST,Gold,88,97,82,80,90,40,73,High / Medium,Right,4,3,
Gonzalo Higuaín,Milan,Italy Serie A,Argentina,ST,Gold,88,71,81,85,85,73,70,High / Medium,Right,4,3,
Mauro Icardi,Inter,Italy Serie A,Argentina,ST,Gold,88,90,84,81,91,35,56,Medium / Low,Right,4,3,
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,France,RW,Gold,88,73,27,47,61,89,87,High / Medium,Right,4,5,
Marek Hamšík,Napoli,Italy Serie A,Slovakia,CM,Gold,88,64,64,74,73,89,80,High / Medium,Right,5,3,
Dries Mertens,Napoli,Italy Serie A,Belgium,CF,Gold,88,94,70,80,84,80,73,High / Low,Right,4,4,
Kalidou Koulibaly,Napoli,Italy Serie A,Senegal,CB,Gold,88,73,65,72,73,89,83,High / High,Right,2,2,
Jan Vertonghen,Tottenham Hotspur,England Premier League,Belgium,CB,Gold,88,56,62,70,67,88,77,High / High,Left,3,3,
Jordi Alba,FC Barcelona,Spain Primera Division,Spain,LB,Gold,88,63,85,88,83,73,70,High / Medium,Left,3,3,
Samuel Umtiti,FC Barcelona,Spain Primera Division,France,CB,Gold,88,85,85,77,76,36,88,Medium / High,Left,3,2,
Piqué,FC Barcelona,Spain Primera Division,Spain,CB,Gold,88,83,84,80,90,46,78,High / Medium,Right,3,2,
Ivan Rakitić,FC Barcelona,Spain Primera Division,Croatia,CM,Gold,88,73,27,48,62,89,88,High / High,Right,3,3,
Romelu Lukaku,Manchester United,England Premier League,Belgium,ST,Gold,88,74,83,88,83,75,82,Medium / Medium,Left,4,3,
Alexis Sánchez,Manchester United,England Premier League,Chile,LW,Gold,88,85,84,86,87,62,65,High / High,Right,3,4,
Kalidou Koulibaly,Napoli,Italy Serie A,Senegal,CB,Gold,88,83,61,85,82,87,80,High / High,Right,2,2,
Juan Sebastián Verón,Icons,Icons,Argentina,CM,Gold,88,85,75,80,84,86,89,Medium / Medium,Right,4,3,
Hidetoshi Nakata,Icons,Icons,Japan,CAM,Gold,88,74,72,84,78,85,88,Medium / Medium,Right,4,4,
Franco Baresi,Icons,Icons,Italy,CB,Gold,88,84,89,73,85,35,75,Medium / High,Right,3,2,
Javier Zanetti,Icons,Icons,Argentina,RB,Gold,88,82,80,87,86,47,76,High / High,Right,4,2,
Patrick Vieira,Icons,Icons,France,CM,Gold,88,90,81,86,79,83,85,Medium / High,Right,3,3,
Roy Keane,Icons,Icons,Republic of Ireland,CM,Gold,88,82,85,87,86,70,85,Medium / High,Right,3,2,
Andriy Shevchenko,Icons,Icons,Ukraine,ST,Gold,88,78,73,79,78,88,85,High / Medium,Right,4,3,
Rui Costa,Icons,Icons,Portugal,CAM,Gold,88,88,80,86,86,40,62,Medium / Low,Right,4,4,
Roberto Carlos,Icons,Icons,Brazil,LB,Gold,88,86,86,78,88,45,72,High / High,Left,2,3,
Clarence Seedorf,Icons,Icons,Netherlands,CM,Gold,88,66,88,87,83,70,76,High / Medium,Right,4,4,
Frank Rijkaard,Icons,Icons,Netherlands,CB,Gold,88,75,77,81,77,86,88,Medium / Medium,Right,4,3,
Robert Pirès,Icons,Icons,France,LM,Gold,88,91,86,66,87,31,62,Medium / Medium,Right,4,4,
Raúl,Icons,Icons,Spain,CF,Gold,88,95,81,80,88,44,64,High / Medium,Left,4,4,
Frank Lampard,Icons,Icons,England,CM,Gold,88,70,40,63,65,90,85,Medium / Medium,Right,4,3,
Emmanuel Petit,Icons,Icons,France,CDM,Gold,88,82,82,87,77,90,80,High / High,Left,3,3,
Michael Owen,Icons,Icons,England,ST,Gold,88,87,54,73,65,90,78,Medium / Medium,Right,4,3,
Marc Overmars,Icons,Icons,Netherlands,LW,Gold,88,83,89,81,83,33,64,High / Medium,Left,5,3,
Alessandro Nesta,Icons,Icons,Italy,CB,Gold,88,86,84,79,82,39,81,Medium / High,Right,3,2,
Lothar Matthäus,Icons,Icons,Germany,CB,Gold,88,80,48,65,64,89,82,High / High,Right,4,3,
Paolo Maldini,Icons,Icons,Italy,LB,Gold,88,83,54,69,67,88,88,Medium / High,Right,4,2,
Jari Litmanen,Icons,Icons,Finland,CAM,Gold,88,82,88,70,80,41,84,High / Medium,Right,4,3,
Patrick Kluivert,Icons,Icons,Netherlands,ST,Gold,88,91,88,81,92,59,70,High / Low,Right,4,4,
Rio Ferdinand,Icons,Icons,England,CB,Gold,88,88,84,87,88,42,77,Medium / Medium,Right,3,3,
Marcel Desailly,Icons,Icons,France,CDM,Gold,88,75,79,86,85,69,87,Medium / High,Right,3,2,
Christian Vieri,Icons,Icons,Italy,ST,Gold,88,81,81,86,91,45,64,Medium / Low,Left,4,3,
George Best,Icons,Icons,Northern Ireland,RW,Gold,88,62,69,75,72,87,88,Medium / Medium,Right,4,4,
Luís Figo,Icons,Icons,Portugal,CAM,Gold,88,72,86,88,86,50,67,Medium / Low,Right,4,4,
Paul Pogba,Manchester United,England Premier League,France,CM,Gold,88,95,88,84,85,58,76,High / Low,Right,4,5,
Coutinho,FC Barcelona,Spain Primera Division,Brazil,LW,Gold,88,71,54,73,70,88,79,High / High,Right,4,5,
Casemiro,Real Madrid,Spain Primera Division,Brazil,CDM,Gold,88,82,71,83,90,81,82,Medium / High,Right,3,2,
James Rodríguez,Bayern München,Germany 1. Bundesliga,Colombia,CAM,Gold,88,74,82,89,86,53,64,Medium / Medium,Left,3,4,
Gareth Bale,Real Madrid,Spain Primera Division,Wales,RW,Gold,88,43,62,79,78,85,80,High / Medium,Left,3,4,
Thiago Silva,Paris Saint-Germain,France Ligue 1,Brazil,CB,Gold,88,73,87,70,83,31,74,High / High,Right,3,2,
Marcelo,Real Madrid,Spain Primera Division,Brazil,LB,Gold,88,92,84,79,89,45,72,High / Low,Left,4,5,
Christian Eriksen,Tottenham Hotspur,England Premier League,Denmark,CAM,Gold,88,90,76,84,91,36,50,High / Medium,Right,5,4,
Sergio Busquets,FC Barcelona,Spain Primera Division,Spain,CDM,Gold,88,87,64,83,85,87,83,Medium / Medium,Right,3,3,
Gonzalo Higuaín,Milan,Italy Serie A,Argentina,ST,Gold,88,94,84,75,80,37,70,High / Medium,Right,4,3,
Mohamed Salah,Liverpool,England Premier League,Egypt,RW,Gold,88,48,81,89,80,72,72,High / Medium,Left,3,4,
Lorenzo Insigne,Napoli,Italy Serie A,Italy,LW,Gold,88,64,70,65,63,88,75,High / Medium,Right,3,4,
Juanfran,Atlético de Madrid,Spain Primera Division,Spain,RB,Gold,87,87,81,81,84,63,79,High / Medium,Right,3,4,
Pierre-Emerick Aubame...,Arsenal,England Premier League,Gabon,ST,Gold,87,66,61,85,90,80,67,Medium / Low,Right,4,4,
Parejo,Valencia CF,Spain Primera Division,Spain,CM,Gold,87,85,46,62,66,87,81,Medium / Low,Right,4,3,
Naldo,FC Schalke 04,Germany 1. Bundesliga,Brazil,CB,Gold,87,95,81,77,88,43,74,Medium / Medium,Right,4,2,
